216,42,17,2018-09-18
217,46,17,2018-09-18
218,25,17,2018-09-19
219,29,17,2018-09-19
220,22,17,2018-09-19
221,38,17,2018-09-19
222,35,17,2018-09-19
223,2,17,2018-09-19
224,5,17,2018-09-19
225,13,17,2018-09-19
226,27,17,2018-09-19
227,36,17,2018-09-19
228,50,17,2018-09-19
229,26,17,2018-09-19
230,41,17,2018-09-19
231,45,17,2018-09-19
232,24,17,2018-09-19
233,47,17,2018-09-19
234,32,17,2018-09-19
235,15,17,2018-09-21
236,44,17,2018-09-21
237,30,17,2018-09-21
238,1,17,2018-09-21
239,37,17,2018-09-21
240,4,19,2018-09-25
241,29,19,2018-09-26
242,48,17,2018-09-26
243,13,19,2018-09-26
244,34,17,2018-09-26
245,50,19,2018-09-28
246,39,19,2018-09-28
247,32,19,2018-09-28
248,22,19,2018-09-28
249,22,20,2018-09-28
250,29,20,2018-09-28
251,38,19,2018-09-28
252,38,20,2018-09-28
253,13,20,2018-09-28
254,50,20,2018-09-28
255,46,19,2018-09-28
256,51,19,2018-09-28
257,33,19,2018-09-28
258,11,19,2018-09-28
259,21,19,2018-09-28
260,3,19,2018-09-28
261,39,20,2018-09-28
262,4,20,2018-09-28
263,11,20,2018-09-28
264,20,19,2018-09-28
265,3,20,2018-09-28
266,33,20,2018-09-28
267,41,19,2018-09-28
268,46,20,2018-09-28
269,21,20,2018-09-28
270,37,19,2018-09-28
271,44,19,2018-10-16
272,12,19,2018-10-23
273,44,20,2018-10-23
274,23,19,2018-10-23
275,4,23,2018-10-23
276,23,23,2018-10-23
277,11,23,2018-10-23
278,12,23,2018-10-23
279,46,23,2018-10-23
280,34,19,2018-10-24
281,22,23,2018-10-24
282,29,23,2018-10-24
283,13,23,2018-10-24
284,32,20,2018-10-24
285,38,23,2018-10-24
286,39,23,2018-10-26
287,50,23,2018-10-26
288,52,1,2018-10-26
289,51,23,2018-10-26
290,20,23,2018-10-26
291,30,23,2018-10-26
292,1,19,2018-10-26
293,52,2,2018-10-29
294,52,3,2018-10-30
295,14,23,2018-10-30
296,34,23,2018-10-31
